name,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,I_F_xOnGoal,I_F_xGoals,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,I_F_takeaways,I_F_giveaways
Craig Rivet,0.44933333333333336,0.48533333333333334,0.47866666666666663,22.167333333333332,1.148,23.4,18.8,19.866666666666667,5.066666666666666,12.933333333333334
Craig Smith,0.4875714285714286,0.5098571428571428,0.5098571428571428,66.41971428571429,6.408,65.48571428571428,22.571428571428573,25.257142857142856,12.814285714285715,12.428571428571429
Craig Weller,0.488,0.506,0.484,10.92,0.78,10.8,2.8,24.4,2.0,2.0
Curtis Glencross,0.5022857142857143,0.5074285714285715,0.5005714285714286,46.04828571428572,5.489428571428571,45.68571428571428,16.2,35.34285714285714,13.8,14.914285714285715
Curtis Hamilton,0.244,0.29,0.268,0.0,0.0,0.0,0.0,1.6,0.0,0.0
Curtis Lazar,0.4223636363636364,0.3976363636363637,0.38727272727272727,22.354545454545455,2.7232727272727275,21.672727272727272,7.672727272727273,45.27272727272727,5.345454545454546,4.036363636363636
Curtis McKenzie,0.42300000000000004,0.42300000000000004,0.37350000000000005,13.4145,1.424,12.1,4.0,20.0,2.6,2.5
Curtis Valk,0.12,0.2,0.172,0.0,0.0,0.0,0.0,0.4,0.0,0.0
Cutter Gauthier,0.284,0.336,0.34,34.492000000000004,2.9859999999999998,29.0,16.2,10.4,3.4,14.2
DJ King,0.191,0.2125,0.21150000000000002,0.9800000000000001,0.079,1.2,0.2,4.3,0.5,0.3
Daemon Hunt,0.29300000000000004,0.43499999999999994,0.35,2.25,0.10500000000000001,1.8,2.0,1.6,0.4,0.6
Dainius Zubrus,0.51525,0.49524999999999997,0.48775,32.8685,3.8612499999999996,34.3,9.375,33.625,8.15,7.95
Dakota Joshua,0.4188,0.4432,0.41359999999999997,19.3148,3.1536,18.04,5.52,56.64,6.36,5.92
Dakota Mermis,0.31775,0.3,0.2985,3.75325,0.13125,3.575,3.8,4.25,0.4,1.05
