name,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,I_F_xOnGoal,I_F_xGoals,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,I_F_takeaways,I_F_giveaways
Ryan Hartman,0.5218181818181818,0.5127272727272728,0.5145454545454545,104.00181818181818,9.462727272727273,100.36363636363636,40.81818181818182,61.72727272727273,21.545454545454547,23.727272727272727
Ryan Hollweg,0.32999999999999996,0.41000000000000003,0.41000000000000003,8.055,0.845,6.0,2.0,22.0,1.0,1.5
Ryan Johansen,0.4938461538461538,0.5046153846153847,0.5038461538461538,86.00538461538461,8.513076923076923,87.84615384615384,27.846153846153847,66.53846153846153,27.076923076923077,23.153846153846153
Ryan Johnson,0.43200000000000005,0.44400000000000006,0.4640000000000001,21.056,1.276,18.6,11.4,18.4,7.4,6.8
Ryan Johnston,0.45999999999999996,0.48,0.49,1.73,0.09999999999999999,2.0,4.0,1.5,0.5,1.5
Ryan Jones,0.44333333333333336,0.4466666666666666,0.445,66.00833333333334,6.276666666666666,66.83333333333333,29.333333333333332,81.5,18.666666666666668,18.5
Ryan Keller,0.64,0.61,0.62,4.42,0.35,5.0,2.0,3.0,2.0,3.0
Ryan Kesler,0.5090909090909091,0.5154545454545455,0.5145454545454545,116.20545454545454,11.346363636363636,109.0909090909091,44.90909090909091,98.54545454545455,28.90909090909091,19.363636363636363
Ryan Kuffner,0.3,0.37,0.34,9.86,0.99,8.0,4.0,4.0,2.0,1.0
Ryan Lindgren,0.48714285714285716,0.48714285714285716,0.49142857142857144,52.01,2.031428571428571,53.0,45.42857142857143,69.42857142857143,11.428571428571429,22.285714285714285
Ryan Lomberg,0.4857142857142857,0.4557142857142857,0.47285714285714286,57.33142857142857,5.158571428571428,54.714285714285715,17.285714285714285,92.28571428571429,10.571428571428571,7.428571428571429
Ryan MacInnis,0.42,0.42,0.44,7.823333333333333,0.5933333333333334,9.666666666666666,2.3333333333333335,9.0,2.0,2.3333333333333335
Ryan Malone,0.5028571428571429,0.5028571428571429,0.5057142857142857,68.61,6.658571428571428,71.42857142857143,16.857142857142858,94.57142857142857,17.142857142857142,14.0
Ryan McDonagh,0.5246666666666667,0.494,0.5053333333333333,75.62333333333332,3.4699999999999998,76.6,52.733333333333334,58.46666666666667,26.066666666666666,40.2
Ryan McLeod,0.524,0.53,0.528,62.596000000000004,6.601999999999999,57.8,23.2,29.8,24.6,32.6
Ryan Merkley,0.42,0.48,0.46,25.95,0.78,30.0,35.0,10.0,13.0,26.0
Ryan Murphy,0.44571428571428573,0.4657142857142857,0.4557142857142857,26.33857142857143,0.9828571428571429,26.285714285714285,20.857142857142858,10.0,9.285714285714286,13.857142857142858
Ryan Murray,0.504,0.49000000000000005,0.497,30.688,1.559,32.3,25.2,23.4,7.6,15.3
Ryan Nugent-Hopkins,0.5021428571428571,0.49857142857142855,0.4957142857142857,104.07071428571429,11.236428571428572,105.78571428571429,44.142857142857146,41.714285714285715,35.07142857142857,26.214285714285715
Ryan O'Byrne,0.446,0.45199999999999996,0.45,32.37,1.172,28.4,32.2,115.4,10.0,20.6
Ryan O'Marra,0.52,0.4633333333333333,0.49666666666666665,6.06,0.3566666666666667,7.0,1.6666666666666667,21.666666666666668,3.3333333333333335,6.0
Ryan O'Reilly,0.5025000000000001,0.505,0.505,102.4525,10.028125,107.1875,31.6875,25.0,50.5,21.8125
Ryan Parent,0.5133333333333333,0.4633333333333334,0.45999999999999996,12.93,0.5566666666666668,11.666666666666666,16.0,23.666666666666668,7.333333333333333,15.666666666666666
Ryan Poehling,0.56,0.5133333333333333,0.545,50.155,5.093333333333334,49.666666666666664,18.333333333333332,35.166666666666664,11.833333333333334,12.333333333333334
Ryan Potulny,0.4366666666666667,0.47000000000000003,0.47333333333333333,38.89333333333334,3.1733333333333333,42.333333333333336,16.0,15.666666666666666,10.0,12.666666666666666
Ryan Pulock,0.515,0.44299999999999995,0.466,79.69200000000001,3.0100000000000002,85.1,61.6,80.1,13.7,30.1
